#Index,Ability,Type,MinRate,MaxRate,MinValue,MaxValue,Target,ItemType,ActivationRange,ActivationDuration,ActivationTimes,Comment,Probabilty
0,AdditaionalAbility,0,,,,,,-1,,,,,0
1,HP_Rate,0,,,3,15,0,0,,,,{} ({} ~ {}) % TO^ Life Maximum,3
2,HP_Val,0,,,200,1000,0,0,,,,{} ({} ~ {}) TO^ Life Maximum,7
3,MP_Rate,0,,,3,15,0,0,,,,{} ({} ~ {}) % TO^ Mana Maximum,3
4,MP_Val,0,,,200,1000,0,0,,,,{} ({} ~ {}) TO^ Mana Maximum,7
5,STR_Val,0,,,10,30,0,0,,,,{} ({} ~ {}) Increase STR,7
6,DEX_Val,0,,,10,30,0,0,,,,{} ({} ~ {}) Increase DEX,7
7,INT_Val,0,,,10,30,0,0,,,,{} ({} ~ {}) Increase INT,7
8,LUK_Val,0,,,10,30,0,0,,,,{} ({} ~ {}) Increase LUK,7
9,STR_Rate,0,,,4,12,0,0,,,,{} ({} ~ {}) % Increase STR,4
10,DEX_Rate,0,,,4,12,0,0,,,,{} ({} ~ {}) % Increase DEX,4
11,INT_Rate,0,,,4,12,0,0,,,,{} ({} ~ {}) % Increase INT,4
12,LUK_Rate,0,,,4,12,0,0,,,,{} ({} ~ {}) % Increase LUK,4
13,DEF_Rate,0,,,2,10,0,1,,,,{} ({} ~ {}) % ^Increase Defence,3
14,DEF_Val,0,,,4,20,0,1,,,,{} ({} ~ {}) ^Increase Defence,5
15,ATK_Rate,0,,,2,10,0,7,,,,{} ({} ~ {}) % ^Increase Attack Power,2
16,ATK_Val,0,,,4,20,0,7,,,,{} ({} ~ {}) ^Increase Attack Power,4
17,Magic_ATK_Rate,0,,,2,10,0,7,,,,{} ({} ~ {}) % ^Increase Magic Power,2
18,Magic_ATK_Val,0,,,4,20,0,7,,,,{} ({} ~ {}) ^Increase Magic Power,4
19,SpecialAbility,1,,,,,,-1,,,,,0
20,CriticalRate,1,,,6,10,0,0,,,,{} ({} ~ {}) % ^Increase Critical Rate,20
21,CriticalDamage,1,,,6,10,0,7,,,,{} ({} ~ {}) % ^Increase Critical Damage,20
22,AttackSpeed,1,,,4,8,0,7,,,,{} ({} ~ {}) % ^Increase Attack Speed,3
23,MoveSpeed,1,,,4,8,0,0,,,,{} ({} ~ {}) % ^Increase Move Speed,3
24,RegenerateHP,1,,,10,50,0,1,,,,Regenerate {} ({} ~ {}) ^ Life Per Second,2
25,RegenerateMP,1,,,10,50,0,1,,,,Regenerate {} ({} ~ {}) ^ Mana Per Second,2
26,Dodge,1,,,2,10,0,1,,,,{} ({} ~ {}) % chance to Avoid Damage,1
27,BlockDamage,1,18,30,40,60,0,1,,,,{} ({} ~ {}) % chance to^ reduce damage^ by {} ({} ~ {})%,2
28,Poison,1,24,48,10,30,1,7,,5000,,{} ({} ~ {}) % chance to^ {} ({} ~ {}) ^*Poison* Damage^ Per Second,1
29,Ignite,1,24,48,10,30,1,7,,5000,,{} ({} ~ {}) % chance to^ {} ({} ~ {}) ^*Ignite* Damage^ Per Second,1
30,Lightning,1,8,12,100,500,1,7,,,3,{} ({} ~ {}) % chance to^ {} ({} ~ {}) ^*Lightning* Damage,1
31,Explode,1,4,8,400,800,1,7,100,,,{} ({} ~ {}) % chance to^ {} ({} ~ {}) ^*Explode* Damage,1
32,Freeze,1,8,12,1000,3000,1,7,,,,{} ({} ~ {}) % chance to^ *Freeze* For ^{} ({} ~ {}) ms,10
33,LifeSteal,1,1,5,4,8,1,7,,,,{} ({} ~ {}) % chance to^ Steal {} ({} ~ {}) %^ Life of Target ,1
34,ReflectDamage,1,12,16,24,48,1,1,,,,{} ({} ~ {}) % chance to^ Reflect {} ({} ~ {}) % Damage,1
